"All","Tất Cả"
"Partially Authorized","Một phần thẩm quyền""
"Return Received","Đã nhận hoàn trả""
"Return Partially Received","Nhận được một phần trả lại""
"Partially Approved","Một phần đã được phê duyệt""
"Rejected","Bị từ chối""
"Partially Rejected","Một phần từ chối""
"Denied","Bị từ chối""
"Closed","Đóng cửa""
"Processed and Closed","Xử lý và đóng""
"This is the wrong RMA item status.","Đây là tình trạng sai sản phẩm RMA.""
"We placed your Return request.","We placed your Return request.""
"We authorized your Return request.","Chúng tôi cấp quyền yêu cầu trả lại cho bạn.""
"We partially authorized your Return request.","Chúng tôi cấp một phần quyền yêu cầu trả lại cho bạn.""
"We received your Return request.","Chúng tôi nhận được yêu cầu trả lại của bạn.""
"We partially received your Return request.","Chúng tôi nhận được một phần yêu cầu trả lại của bạn.""
"We partially approved your Return request.","Chúng tôi một phần chấp thuận yêu cầu trả lại của bạn.""
"We partially rejected your Return request.","Chúng tôi từ chối một phần yêu cầu trả lại của bạn.""
"We closed your Return request.","Chúng tôi đóng yêu cầu trả lại của bạn.""
"We processed and closed your Return request.","Chúng tôi xử lý và đóng yêu cầu trả lại của bạn.""
"ID cannot be an empty","ID không thể trống""
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again.""
"Could not save the RMA entity.","Could not save the RMA entity.""
"Could not delete the RMA entity.","Could not delete the RMA entity.""
"Please enter a valid comment.","Vui lòng nhập một bình luận hợp lệ.""
"No such entity with %1 = %2, %3 = %4","No such entity with %1 = %2, %3 = %4""
"The ""%1"" carrier is invalid. Verify and try again.","The ""%1"" carrier is invalid. Verify and try again.""
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Chúng ta cần biết thêm thông tin để tạo ra các nhãn vận chuyển của bạn. Xin vui lòng xác minh cài đặt lưu trữ thông tin và vận chuyển của bạn.""
"No detail for number ""%1""","Không có chi tiết cho số ""%1""""
"Shipment does not exists.","Lô hàng không tồn tại.""
"We can't load track with retrieving identifier right now.","Chúng tôi không thể tải ca khúc mà đang lấy định danh ngay bây giờ.""
"Could not save the RMA tracking.","Could not save the RMA tracking.""
"Could not delete the RMA tracking.","Could not delete the RMA tracking.""
"No detail for number ""' . . '""","Không có chi tiết cho số ""'... '""""
"Use  Settings","Sử dụng cấu hình cài đặt""
"All Items","Tất cả các mục""
"Individual Items","Sản phẩm riêng lẻ""
"Account &amp;  Information","Tài khoản &amp; thông tin vận chuyển""
"Address Information","Thông tin địa chỉ""
"RMA Totals","Tổng số RMA""
"Request Details","Yêu cầu thông tin chi tiết""
"ID","ID""
"#","#""
"Order ID","ID Đơn Hàng"
"Customer Name","Tên khách hàng""
"Customer name","Tên Khách Hàng"
" Address","Địa chỉ email""
"RMA History","Lịch sử RMA""
"Comment Text","Văn bản Bình luận""
"Notify Customer by ","Thông báo cho khách hàng bằng ""
"Visible on front","Có thể nhìn thấy trên front""
"Customer Service","Dịch vụ khách hàng""
"Notified","Thông báo""
"Not Notified","Không thông báo""
"Return Address","Địa chỉ trả lại""
"Order  Address","địa chỉ vận chuyển của đơn hàng""
"Delete Line","Xoá dòng""
"Select All","Chọn tất cả""
"Weight","Trọng lượng""
"Customs Value","Tuỳ chỉnh các giá trị""
"Qty Ordered","Số lượng đặt hàng""
" Information","Thông tin vận chuyển""
"Change shipping method.","Thay đổi phương thức vận chuyển.""
"No authorized items or allowed shipping methods","Không có khoản mục được ủy quyền hoặc phương pháp được phép vận chuyển""
"Carrier","Nhà mạng""
"Title","Tiêu đề""
"Number","Số""
"Are you sure?","Bạn chắc chứ?""
" Method","Phương thức vận chuyển""
"Create  Label","Tạo vận nhãn chuyển""
"Enabled when authorized items require a new shipment.","Được kích hoạt khi mục được ủy quyền yêu cầu một lô hàng mới.""
"Order &amp; Account Information","Đặt hàng &amp; thông tin tài khoản""
"Return Totals","Tổng số trả lại""
"Return Confirmation","Xác nhận trả lại""
" Returns Confirmation"," xác nhận trả lại""
"RMA Items Requested for","Sản phẩm yêu cầu RMA cho""
"Please Select Products to Add","Vui lòng chọn sản phẩm để thêm""
"Remove","Loại bỏ""
"Item","Sản phẩm""
"Return items","Sản phẩm hoàn trả""
"Sub-items","Tiểu mục""
"Quantity To Return","Số lượng để trả lại""
"Remaining Quantity:","Số lượng còn lại:""
"New Return for Order %1","Trả lại Mới cho đơn hàng %1""
"","""
"Return Items Information","Trở lại mục thông tin""
"Add Item To Return","Thêm khoản mục vào trả lại""
"Comments","Bình luận""
"Save","Lưu lại""
"Submit","Gửi""
"Back","Trở lại""
"Return #","Trả Hàng #""
"Date","Ngày""
"Ship From","Vận chuyển từ""
"Return Status","Trạng thái Trả lại""
"Actions","Thao tác""
"View Return","Xem hoàn trả""
"You have placed no returns.","Bạn không đặt trả lại nào.""
"Packages","Gói""
"Close Window","Đóng cửa sổ""
"Package","Gói""
"Type","Loại""
"Length","Chiều dài""
"Total Weight","Tổng trọng lượng""
"Width","ĐỘ RỘNG GIÀY"
"Height","Chiều cao""
"Items in the Package","Các mặt hàng trong gói""
"Are you sure you want to delete this tracking information?","Bạn có chắc bạn muốn xóa bỏ thông theo dõi tin này?""
"Request Information","Yêu cầu thông tin""
"Date Requested","Ngày yêu cầu""
" Address","Địa chỉ giao hàng""
"This won't take long . . .","Hãy vui lòng đợi một chút . . .""
" and Tracking Information","Vận chuyển và theo dõi thông tin""
"Track this shipment","Theo dõi lô hàng này""
"Items Return Requested For","Trở lại mục yêu cầu""
"Request Qty","Số lượng Yêu cầu""
"Hide Details","Ẩn chi tiết""
"Show Details","Hiển thị chi tiết""
"Questions and Answers","Câu hỏi và câu trả lời""
"Questions","Câu hỏi""
"Answers","Câu trả lời""
"Leave Comment","Để lại bình luận""
"%store_name:  New customer comment","%store_name: bình luận khách hàng mới""
"New Comment for RMA #%increment_id","Các bình luận mới cho RMA #%increment_id""
"Customer %name has left a new comment:","Khách hàng %name đã để lại một bình luận mới:""
"%store_name : New Return #%increment_id","%store_name: trả lại mới # %increment_id""
"%name,","%name,""
"Your return request has been updated. Please see below.","Yêu cầu trả lại của bạn đã được Cập Nhật. Xin vui lòng xem dưới đây.""
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","Bạn có thể kiểm tra tình trạng của đơn trả lại của bạn bằng cách <a href=""%account_url""> đăng nhập vào tài khoản của bạn</a> hoặc <a href=""%form_url""> sử dụng số thứ tự của bạn </a>.""
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at <a href=""tel:%store_phone"">%store_phone</a>","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at <a href=""tel:%store_phone"">%store_phone</a>""
"Your Return #%increment_id - %status_label","TrẢ lại của bạn #%increment_id - %status_label""
"%store_name: New Return #%increment_id","%store_name: New Return #%increment_id""
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","Bạn có thể kiểm tra trạng thái đơn trả lại của bạn <a href=""%form_url""> bằng cách sử dụng số thứ tựđơn hàng của bạn</a>.""
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","Nếu bạn có bất kỳ câu hỏi về đơn trả lại của bạn, xin vui lòng liên hệ với chúng tôi tại <a href=""mailto:%support_email""> %support_email</a>.""
"%store_name: Return #%increment_id update","%store_name: Return #%increment_id update""
"We received your return request. You will be notified when your request is reviewed.","Chúng tôi nhận được yêu cầu trả lại của bạn. Bạn sẽ được thông báo khi yêu cầu được xem xét.""
"Placed on %created_at","Đặt trên %created_at""
"Click Details for more required fields.","Bấm vào chi tiết cho các trường được yêu cầu nhiều hơn.""
"Ok","Đồng ý""
"Create Packages","Tạo ra các gói""
"Add Package","Thêm gói""
"RMA Settings","Cài đặt RMA""
"Enable RMA on front","Cho phép RMA trên front""
"Enable RMA on Product Level","Cho phép RMA trên sản phẩm cấp""
"Use  Address","Sử dụng Cửa hàng địa chỉ""
" Name","Tên liên hệ""
"Street Address","Địa chỉ đường""
"City","Thành phố""
"State/Province","Bang/tỉnh""
"ZIP/Postal Code","Mã Bưu điện/Bưu chính""
"Country","Quốc gia""
"Enabled","Cho phép""
"RMA  Sender","RMA người gửi ""
"RMA  Template","RMA  mẫu""
"RMA  Template for Guest","RMA  mẫu cho khách""
"Send RMA  Copy To","Gửi RMA  sao cho""
"Comma-separated","Ngăn cách bởi dấu phẩy""
"Send RMA  Copy Method","Gửi  phương pháp sao chép RMA""
"RMA Authorization","RMA ủy quyền""
"RMA Authorization  Sender","RMA người gửi  ủy quyền""
"RMA Authorization  Template","RMA mẫu  ủy quyền""
"RMA Authorization  Template for Guest","RMA mẫu  ủy quyền cho khách""
"Send RMA Authorization  Copy To","Gửi RMA  ủy quyền sao cho""
"Send RMA Authorization  Copy Method","Gửi  phương pháp sao chép ủy quyền RMA""
"RMA Admin Comments","RMA Admin bình luận""
"RMA Comment  Sender","RMA người gửi  bình luận""
"RMA Comment  Template","RMA bình luận  mẫu""
"RMA Comment  Template for Guest","RMA bình luận  mẫu cho khách""
"Send RMA Comment  Copy To","Gửi  RMA sao chép bình luận cho""
"RMA Customer Comments","RMA ý kiến khách hàng""
"RMA Comment  Recipient","RMA bình luận  người nhận""
"Enabled for RMA","Kích hoạt cho RMA""
"Page not found.","Không tìm thấy trang."Rss
"Any message","Any message"Rss
"Feed","Nguồn dữ liệu"Rss
"Miscellaneous Feeds","Nguồn cấp dữ liệu khác"Rss
"Get Feed","Nhận được nguồn cấp dữ liệu"Rss
"RSS Feeds Section","Phần nguồn cấp dữ liệu RSS"Rss
"RSS Feeds","Nguồn cấp dữ liệu RSS"Rss
"Rss ","Cấu hình Rss"Rss
"Enable RSS","Cho phép RSS"Rss
"RSS","RSS"Rss
"Apply","Áp dụng"
"Please choose a valid discount amount.","Hãy chọn một số tiền giảm giá hợp lệ."
"End Date must follow Start Date.","Ngày kết thúc phải sau ngày bắt đầu."
"Please specify a website.","Hãy chỉ ra một trang web."
"Please specify Customer Groups.","Hãy chỉ ra các nhóm khách hàng."
"to","đến"
"by","bởi"
"Please choose an action to add.","Hãy chọn một hành động để thêm."
"Perform following actions","Thực hiện sau thao tác"
"is","là"
"is not","không phải là"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc ít hơn"
"greater than","lớn hơn"
"less than","nhỏ hơn"
"contains","bao gồm"
"does not contain","không bao gồm"
"is one of","là một trong"
"is not one of","không phải là một trong"
"is undefined","is undefined"
"Please choose a condition to add.","Vui lòng chọn một điều kiện để thêm."
"Add","Thêm"
"Remove","Loại bỏ"
"ALL","TẤT CẢ"
"ANY","BẤT KỲ"
"TRUE","đúng"
